mesto,id_tekmovalca,tocke
12,2010,252.3
13,2062,251.3
14,2927,250.8
15,4321,250.2
16,2918,249.2
17,2813,247.2
18,2929,246.5
19,2031,245.5
20,2815,242.5
21,2004,242.2
22,4322,241.9
23,4561,240.9
24,2009,237.9
25,2928,233.7
26,2113,231.8
27,1970,231.0
28,1971,230.4
29,2611,225.9
30,2067,223.0
31,4186,148.5
32,3071,112.1
33,2088,111.3
34,2045,108.9
34,2030,108.9
34,4041,108.9
37,4734,108.0
38,1994,107.5
38,2034,107.5
38,2999,107.5
41,2947,107.1
41,2041,107.1
43,4174,103.8
44,4237,100.2
45,2934,98.8
46,2998,97.1
47,4325,95.7
48,2037,94.6
49,4724,92.4
50,1998,91.6
51,2945,90.2
1,1991,277.5
2,1995,274.5
3,4143,268.9
4,1984,266.7
5,2033,265.6
6,2917,261.6
6,4141,261.6
8,2062,260.6
9,2004,260.1
10,2010,258.7
11,4025,256.1
12,2929,256.0
13,2813,254.7
14,2039,254.5
15,1996,253.4
16,3012,251.8
17,2031,251.5
18,2927,248.1
19,4321,247.0
20,4724,246.9
21,4322,246.0
22,2009,238.8
23,2815,238.5
24,2045,238.3
25,2928,234.7
26,1994,234.6
27,2947,231.9
28,2088,229.8
29,1971,228.6
30,1970,227.3
31,4186,114.8
32,2611,113.4
32,2113,113.4
34,4041,112.8
35,4561,112.5
36,2030,111.6
37,3071,111.2
38,2034,109.8
38,2999,109.8
40,1998,108.9
41,2934,108.0
42,2918,107.1
43,4174,106.5
44,4559,106.2
45,2998,104.3
46,4237,101.0
47,2041,100.7
48,4336,99.3
49,4734,98.8
50,2067,96.6
1,2062,289.5
2,2010,274.9
3,1995,264.2
4,2092,263.4
5,2033,262.9
6,2045,259.2
7,1984,256.1
8,2039,255.6
9,4143,250.1
10,4186,245.4
11,1994,243.5
12,2929,238.4
13,2813,237.8
14,2947,235.3
15,2917,229.8
16,2067,227.3
17,2815,227.0
18,2016,226.2
19,2030,225.3
20,2088,221.2
21,2998,220.8
22,4041,217.6
23,2611,215.7
24,4141,214.4
25,4321,209.1
26,1991,209.0
27,4593,207.0
28,4259,203.5
29,2004,201.6
30,2999,199.6
31,3071,101.5
32,2975,100.0
33,2918,99.6
34,2934,98.7
34,4613,98.7
36,4580,95.6
37,2026,94.7
38,2022,94.3
39,3157,93.7
40,2819,93.4
41,2035,92.4
42,4420,91.6
43,3023,91.5
44,1996,90.2
45,4561,89.2
46,3028,86.4
47,2077,84.9
48,4880,58.9
49,2009,57.3
50,1970,55.8
1,1984,287.1
2,1995,281.7
3,2062,268.6
4,2033,266.2
5,3071,264.2
6,2067,260.3
7,2039,257.6
8,2009,254.8
9,2010,254.2
10,2016,253.8
11,2092,251.1
12,4143,245.2
13,2929,245.1
14,2004,244.0
15,2030,239.2
15,2947,239.2
17,2917,239.1
18,2045,236.8
19,4580,235.1
20,2088,234.6
21,2998,233.6
22,2918,230.3
23,4880,228.8
24,4141,228.6
25,2927,227.5
26,2611,227.2
27,1994,225.0
28,4186,224.5
29,1991,222.1
30,3012,219.6
31,2819,103.4
32,4593,102.4
32,4259,102.4
34,2077,101.1
35,4041,101.0
36,2813,100.6
37,4561,100.2
38,2815,98.7
39,2022,97.7
40,2900,96.9
41,1998,93.3
42,2934,91.2
43,4613,90.6
44,2975,88.3
45,4734,85.6
46,1996,85.2
47,4237,84.7
48,4025,78.7
49,4420,77.9
1,2929,264.7
2,1984,263.2
3,2917,258.1
4,4143,257.6
5,2033,256.9
6,1995,255.4
7,2062,255.2
8,2016,253.8
9,2022,251.7
10,2998,251.4
11,4141,251.3
12,2092,250.2
13,2009,248.4
14,4186,248.1
15,1991,247.1
16,2088,243.6
17,2031,242.5
18,2045,239.4
19,2813,236.4
20,2815,236.0
21,2113,232.5
22,2918,231.4
23,2067,231.2
24,2010,229.6
